iter	Passed	Remaining
0	351	526233
1	571	427988
2	870	434485
3	1299	486171
4	1540	460638
5	1880	468215
6	2214	472326
7	2526	471276
8	2680	444033
9	2832	421975
10	2980	403502
11	3127	387823
12	3272	374373
13	3413	362340
14	3557	352203
15	3717	344817
16	3884	338845
17	4049	333433
18	4213	328402
19	4385	324517
20	4549	320446
21	4703	316003
22	4851	311564
23	5004	307770
24	5159	304407
25	5324	301836
26	5485	299241
27	5659	297527
28	5806	294545
29	5970	292548
30	6122	290104
31	6277	287967
32	6444	286486
33	6612	285101
34	6799	284627
35	6961	283104
36	7128	281883
37	7287	280382
38	7488	280534
39	7651	279271
40	7818	278234
41	7986	277235
42	8223	278655
43	8401	278025
44	8571	277137
45	8737	276171
46	8908	275391
47	9075	274529
48	9240	273631
49	9414	273014
50	9589	272445
51	9769	272048
52	9938	271348
53	10105	270592
54	10272	269892
55	10454	269568
56	10641	269404
57	10821	269041
58	10975	268057
59	11147	267541
60	11320	267048
61	11497	266666
62	11682	266480
63	11822	265271
64	12003	265009
65	12180	264659
66	12361	264384
67	12531	263896
68	12706	263515
69	12882	263165
70	13049	262650
71	13216	262123
72	13387	261691
73	13564	261386
74	13747	261209
75	13917	260771
76	14101	260606
77	14288	260490
78	14452	259957
79	14628	259656
80	14807	259403
81	14989	259211
82	15157	258768
83	15374	259174
84	15548	258841
85	15732	258671
86	15910	258411
87	16078	257985
88	16259	257772
89	16436	257505
90	16628	257469
91	16816	257360
92	16998	257177
93	17157	256629
94	17343	256494
95	17526	256319
96	17701	256036
97	17888	255908
98	18068	255690
99	18242	255391
100	18423	255188
101	18601	254951
102	18786	254799
103	18957	254461
104	19133	254195
105	19317	254044
106	19485	253674
107	19667	253488
108	19842	253223
109	20021	252995
110	20201	252791
111	20372	252469
112	20561	252374
113	20736	252117
114	20916	251906
115	21089	251614
116	21263	251351
117	21437	251077
118	21608	250766
119	21845	251220
120	22030	251076
121	22206	250821
122	22383	250582
123	22557	250314
124	22738	250128
125	22900	249723
126	23084	249564
127	23268	249405
128	23450	249225
129	23638	249111
130	23823	248962
131	24000	248733
132	24182	248552
133	24367	248400
134	24545	248184
135	24723	247957
136	24905	247782
137	25083	247564
138	25272	247450
139	25452	247252
140	25633	247062
141	25799	246727
142	25984	246584
143	26152	246270
144	26328	246034
145	26504	245805
146	26696	245718
147	26866	245431
148	27037	245152
149	27176	244590
150	27354	244382
151	27528	244135
152	27715	244002
153	27897	243831
154	28086	243719
155	28262	243493
156	28445	243326
157	28621	243099
158	28803	242929
159	28982	242726
160	29152	242456
161	29326	242217
162	29507	242031
163	29683	241812
164	29862	241613
165	30024	241281
166	30210	241141
167	30395	240992
168	30561	240694
169	30739	240492
170	30920	240314
171	31098	240110
172	31277	239917
173	31451	239684
174	31619	239404
175	31800	239226
176	31972	238982
177	32154	238810
178	32331	238602
179	32506	238378
180	32674	238109
181	32855	237932
182	33041	237790
183	33221	237602
184	33410	237487
185	33578	237217
186	33759	237041
187	33927	236769
188	34100	236540
189	34285	236388
190	34463	236195
191	34650	236053
192	34825	235837
193	35010	235688
194	35183	235456
195	35356	235228
196	35535	235036
197	35713	234843
198	35884	234603
199	36062	234406
200	36227	234129
201	36400	233900
202	36575	233687
203	36747	233453
204	36931	233298
205	37111	233120
206	37285	232899
207	37458	232677
208	37630	232445
209	37808	232250
210	37990	232086
211	38168	231893
212	38342	231672
213	38516	231458
214	38701	231308
215	38879	231114
216	39064	230968
217	39227	230688
218	39412	230535
219	39597	230386
220	39770	230167
221	39948	229971
222	40113	229708
223	40329	229735
224	40517	229596
225	40702	229446
226	40891	229316
227	41076	229165
228	41252	228961
229	41441	228827
230	41621	228647
231	41806	228494
232	41974	228246
233	42158	228090
234	42342	227928
235	42520	227738
236	42698	227544
237	42868	227312
238	43048	227130
239	43220	226907
240	43412	226791
241	43603	226663
242	43790	226523
243	43976	226373
244	44152	226169
245	44331	225984
246	44520	225846
247	44715	225743
248	44894	225555
249	45077	225387
250	45255	225193
251	45432	224996
252	45624	224876
253	45807	224711
254	45995	224565
255	46175	224382
256	46392	224379
257	46576	224214
258	46755	224030
259	46936	223848
260	47118	223675
