coluna,tipo,nulos,percentual_nulos,valores_unicos
trans_num,string,0,0.0,1296675
merch_long,float64,0,0.0,1275745
unix_time,int64,0,0.0,1274823
trans_date_trans_time,datetime64[ns],0,0.0,1274791
merch_lat,float64,0,0.0,1247805
amt,float64,0,0.0,52928
cc_num,string,0,0.0,983
street,string,0,0.0,983
zip,string,0,0.0,970
long,float64,0,0.0,969
lat,float64,0,0.0,968
dob,datetime64[ns],0,0.0,968
city,string,0,0.0,894
city_pop,int64,0,0.0,879
merchant,string,0,0.0,693
job,string,0,0.0,494
last,string,0,0.0,481
first,string,0,0.0,352
state,category,0,0.0,51
category,category,0,0.0,14
gender,category,0,0.0,2
is_fraud,int64,0,0.0,2
