hora,total_transacoes,total_fraudes,participacao_transacoes_percentual,taxa_fraude_percentual
0,42502,635,3.277768137736904,1.4940473389487554
1,42869,658,3.306071297742302,1.5349086752665098
2,42656,625,3.289644668093393,1.4652100525131284
3,42769,609,3.298359265043284,1.4239285463770488
4,41863,46,3.2284882487901747,0.10988223490910828
5,42171,60,3.2522413095031526,0.1422778686775272
6,42300,40,3.2621898316848865,0.09456264775413711
7,42203,56,3.2547091599668385,0.13269198872118096
8,42505,49,3.277999498717875,0.1152805552287966
9,42185,47,3.2533209940810153,0.11141400971909447
10,42271,40,3.259953342202171,0.09462752241489437
11,42082,42,3.2453776004010253,0.09980514234114349
12,65257,67,5.032641178398596,0.1026709778261336
13,65314,80,5.037037037037037,0.12248522521970788
14,64885,86,5.003952416758247,0.132542190028512
15,65391,79,5.0429753022152815,0.12081173250141457
16,65726,76,5.0688106117569935,0.11563156133037156
17,65450,78,5.047525401507703,0.11917494270435446
18,66051,81,5.093874718028805,0.12263251124131354
19,65508,81,5.051998380473133,0.12364901996702693
20,65098,62,5.020379046407157,0.09524102122953086
21,65533,74,5.053926388647888,0.11292020813941069
22,66982,1931,5.1656737424566685,2.882864053029172
23,67104,1904,5.175082422349471,2.8373867429661424
