ano_mes,total_transacoes,total_fraudes,participacao_transacoes_percentual,taxa_fraude_percentual
2019-01,52525,506,4.050745175159543,0.9633507853403142
2019-02,49866,517,3.845682225692637,1.0367785665583764
2019-03,70939,494,5.470838876356836,0.6963729401316624
2019-04,68078,376,5.250197620837913,0.5523076471106672
2019-05,72532,408,5.593691557252202,0.5625103402636078
2019-06,86064,354,6.637283822083406,0.41132180702732846
2019-07,86596,331,6.678311836042185,0.38223474525382234
2019-08,87359,382,6.737154645535696,0.43727606772055544
2019-09,70652,418,5.448705342510652,0.5916322255562476
2019-10,68758,454,5.302639443191239,0.6602868029901976
2019-11,70421,388,5.430890546975919,0.550972011189844
2019-12,141060,592,10.878593325235698,0.41967956897774
2020-01,52202,343,4.025835309541712,0.6570629477797786
2020-02,47791,336,3.685657547188,0.7030612458412672
2020-03,72850,444,5.618215821235082,0.609471516815374
2020-04,66892,302,5.158732913027551,0.45147401781976915
2020-05,74343,527,5.73335646943143,0.7088764241421519
2020-06,57747,334,4.453467522702296,0.5783850243302683
